Time,ADC1 (V)
0,-9.665107
0.000973,-9.665062
0.001946,-9.664934
0.002918,-9.6644
0.003891,-9.664004
0.004864,-9.664081
0.005837,-9.664657
0.00681,-9.664503
0.007782,-9.664362
0.008755,-9.663725
0.009728,-9.663571
0.010701,-9.664315
0.011674,-9.664319
0.012646,-9.664595
0.013619,-9.663986
0.014592,-9.663635
0.015565,-9.664041
0.016538,-9.664547
0.01751,-9.664692
0.018483,-9.664422
0.019456,-9.663659
0.020429,-9.663701
0.021402,-9.66436
0.022374,-9.664942
0.023347,-9.664769
0.02432,-9.663807
0.025293,-9.663708
0.026266,-9.663954
0.027238,-9.665012
0.028211,-9.665008
0.029184,-9.664311
0.030157,-9.663202
0.03113,-9.663642
0.032102,-9.665536
0.033075,-9.665448
0.034048,-9.664345
0.035021,-9.663142
0.035994,-9.663157
0.036966,-9.664669
0.037939,-9.665473
0.038912,-9.665025
0.039885,-9.663223
0.040858,-9.662777
0.04183,-9.664179
0.042803,-9.665529
0.043776,-9.66508
0.044749,-9.66354
0.045722,-9.662843
0.046694,-9.6637
0.047667,-9.665289
0.04864,-9.666015
0.049613,-9.664523
0.050586,-9.663096
0.051558,-9.663424
0.052531,-9.664927
0.053504,-9.665571
0.054477,-9.664455
0.05545,-9.663212
0.056422,-9.663125
0.057395,-9.66462
0.058368,-9.665972
0.059341,-9.665215
0.060314,-9.663173
0.061286,-9.662271
0.062259,-9.66404
0.063232,-9.666159
0.064205,-9.666982
0.065178,-9.66577
0.06615,-9.66467
0.067123,-9.664741
0.068096,-9.665831
0.069069,-9.666466
0.070042,-9.664879
0.071014,-9.664135
0.071987,-9.663705
0.07296,-9.664513
0.073933,-9.665918
0.074906,-9.666627
0.075878,-9.665191
0.076851,-9.664675
0.077824,-9.66385
0.078797,-9.66503
0.07977,-9.664858
0.080742,-9.663431
0.081715,-9.662537
0.082688,-9.663591
0.083661,-9.664675
0.084634,-9.665086
0.085606,-9.664586
0.086579,-9.663728
0.087552,-9.665142
0.088525,-9.665963
0.089498,-9.66593
0.09047,-9.664907
0.091443,-9.663411
0.092416,-9.663458
0.093389,-9.665098
0.094362,-9.666396
0.095334,-9.665601
0.096307,-9.664104
0.09728,-9.66392
0.098253,-9.664401
0.099226,-9.665425
0.100198,-9.665975
0.101171,-9.664666
0.102144,-9.664534
0.103117,-9.663873
0.10409,-9.665208
0.105062,-9.666039
0.106035,-9.665196
0.107008,-9.664148
0.107981,-9.664115
0.108954,-9.664234
0.109926,-9.664727
0.110899,-9.664576
0.111872,-9.664361
0.112845,-9.66376
0.113818,-9.664135
0.11479,-9.66474
0.115763,-9.664933
0.116736,-9.664737
0.117709,-9.664463
0.118682,-9.663914
0.119654,-9.66409
0.120627,-9.6656
0.1216,-9.665102
0.122573,-9.664593
0.123546,-9.663879
0.124518,-9.664185
0.125491,-9.664861
0.126464,-9.665272
0.127437,-9.665322
0.12841,-9.664336
0.129382,-9.664483
0.130355,-9.665808
0.131328,-9.666488
0.132301,-9.666706
0.133274,-9.665478
0.134246,-9.66457
0.135219,-9.665022
0.136192,-9.665792
0.137165,-9.666229
0.138138,-9.665786
0.13911,-9.664593
0.140083,-9.664445
0.141056,-9.665776
0.142029,-9.666737
0.143002,-9.666397
0.143974,-9.664605
0.144947,-9.663987
0.14592,-9.665256
0.146893,-9.666514
0.147866,-9.666773
0.148838,-9.665475
0.149811,-9.664364
0.150784,-9.664735
0.151757,-9.665899
0.15273,-9.666378
0.153702,-9.664212
0.154675,-9.662434
0.155648,-9.662051
0.156621,-9.66292
0.157594,-9.665069
0.158566,-9.664379
0.159539,-9.662915
0.160512,-9.662427
0.161485,-9.663627
0.162458,-9.66509
0.16343,-9.665191
0.164403,-9.664398
0.165376,-9.663099
0.166349,-9.663422
0.167322,-9.664645
0.168294,-9.665015
0.169267,-9.665021
0.17024,-9.664237
0.171213,-9.663915
0.172186,-9.664102
0.173158,-9.664739
0.174131,-9.665192
0.175104,-9.664738
0.176077,-9.664392
0.17705,-9.664537
0.178022,-9.665404
0.178995,-9.665955
0.179968,-9.665675
0.180941,-9.664266
0.181914,-9.663928
0.182886,-9.664381
0.183859,-9.66498
0.184832,-9.665023
0.185805,-9.664352
0.186778,-9.664075
0.18775,-9.664666
0.188723,-9.665178
0.189696,-9.665445
0.190669,-9.664802
0.191642,-9.663992
0.192614,-9.663977
0.193587,-9.6641
0.19456,-9.664994
0.195533,-9.664884
0.196506,-9.663999
0.197478,-9.663785
0.198451,-9.663984
0.199424,-9.664976
0.200397,-9.664548
0.20137,-9.66381
0.202342,-9.663341
0.203315,-9.664619
0.204288,-9.665576
0.205261,-9.665152
0.206234,-9.663842
0.207206,-9.662699
0.208179,-9.663044
0.209152,-9.663648
0.210125,-9.664277
0.211098,-9.664421
0.21207,-9.664233
0.213043,-9.664169
0.214016,-9.665984
0.214989,-9.666247
0.215962,-9.66611
0.216934,-9.664491
0.217907,-9.663985
0.21888,-9.664128
0.219853,-9.665017
0.220826,-9.664862
0.221798,-9.66443
0.222771,-9.664038
0.223744,-9.664482
0.224717,-9.665338
0.22569,-9.665095
0.226662,-9.66422
0.227635,-9.663917
0.228608,-9.663965
0.229581,-9.6644
0.230554,-9.664999
0.231526,-9.664317
0.232499,-9.663695
0.233472,-9.663536
0.234445,-9.664271
0.235418,-9.664707
0.23639,-9.664821
0.237363,-9.664262
0.238336,-9.663715
0.239309,-9.664466
0.240282,-9.664624
0.241254,-9.66468
0.242227,-9.66393
0.2432,-9.663668
0.244173,-9.663856
0.245146,-9.664415
0.246118,-9.664528
0.247091,-9.664077
0.248064,-9.664483
0.249037,-9.665486
0.25001,-9.666626
0.250982,-9.665816
0.251955,-9.66454
0.252928,-9.663485
0.253901,-9.663365
0.254874,-9.663838
0.255846,-9.664115
0.256819,-9.663188
0.257792,-9.663398
0.258765,-9.662728
0.259738,-9.66386
0.26071,-9.664352
0.261683,-9.664156
0.262656,-9.66337
0.263629,-9.663378
0.264602,-9.664291
0.265574,-9.66531
0.266547,-9.664956
0.26752,-9.663847
0.268493,-9.663298
0.269466,-9.664122
0.270438,-9.665096
0.271411,-9.665535
0.272384,-9.664117
0.273357,-9.663595
0.27433,-9.664061
0.275302,-9.664824
0.276275,-9.665223
0.277248,-9.664658
0.278221,-9.663667
0.279194,-9.66403
0.280166,-9.664302
0.281139,-9.664587
0.282112,-9.663891
0.283085,-9.663829
0.284058,-9.664969
0.28503,-9.665727
0.286003,-9.665913
0.286976,-9.663971
0.287949,-9.663381
0.288922,-9.663838
0.289894,-9.664895
0.290867,-9.66512
0.29184,-9.664508
0.292813,-9.663152
0.293786,-9.663773
0.294758,-9.665019
0.295731,-9.66539
0.296704,-9.664598
0.297677,-9.66326
0.29865,-9.663552
0.299622,-9.664723
0.300595,-9.665476
0.301568,-9.664899
0.302541,-9.6635
0.303514,-9.663987
0.304486,-9.665134
0.305459,-9.665744
0.306432,-9.664776
0.307405,-9.663698
0.308378,-9.663054
0.30935,-9.664085
0.310323,-9.665532
0.311296,-9.665139
0.312269,-9.663891
0.313242,-9.663391
0.314214,-9.664355
0.315187,-9.665695
0.31616,-9.665703
0.317133,-9.6645
0.318106,-9.664557
0.319078,-9.664935
0.320051,-9.665543
0.321024,-9.666473
0.321997,-9.666066
